n,len,time
2,1,5.2928924560546875e-05
3,1,1.52587890625e-05
4,1,2.6464462280273438e-05
5,2,4.9591064453125e-05
6,2,0.00010991096496582031
7,2,0.00021457672119140625
8,3,0.0005443096160888672
9,2,0.00016641616821289062
10,2,0.0002715587615966797
11,2,0.00015687942504882812
12,1,2.384185791015625e-05
13,3,0.004432201385498047
14,2,0.00020885467529296875
15,3,0.0020570755004882812
16,1,3.528594970703125e-05
17,1,7.05718994140625e-05
18,3,0.00857090950012207
19,3,0.023156166076660156
20,1,0.0003428459167480469
21,4,0.11600351333618164
22,1,4.172325134277344e-05
23,2,0.0003528594970703125
24,3,0.02489495277404785
25,3,0.009444236755371094
26,4,0.5273299217224121
27,1,0.00028967857360839844
28,2,0.0004773139953613281
29,4,1.1954283714294434
30,1,0.000377655029296875
